data;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;bairro_cruzamento;num_semaforo;sentido_via;tipo;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
2020-06-18;15:12:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA ANTONIO FALCAO;;RUA DOS NAVEGANTES;;BOA VIAGEM;;;COLISÃO;COLISÃO ENTRE 2 AUTOS- SEM VÍTIMAS;2;;;;;;;;;0;;Cruzamento;Chuvoso;Não existe;Ilegível;Molhada;Perfeito estado;Outros;Placas Pare;N/I;Única;Não existe;;
2020-06-18;15:52:00;SEM VÍTIMA;FINALIZADA;TAMARINEIRA;RUA CONEGO BARATA;;;Em frente a Policlínica Albert Sabin sentido Água Fria;TAMARINEIRA;;SUBURBIO;COLISÃO;Condutora informa que seu veículo foi colidido na traseira por veículo da Secretaria de Saúde do Município de Recife;;;;;;;;;;0;;Longo da via;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;R-6a;N/I;Única;Canteiro central;;
2020-06-18;16:16:00;COM VÍTIMA;FINALIZADA;SÃO JOSÉ;AV SUL;488;;ANTES DA ENTRADA DO CABANGA;SÃO JOSÉ;509;SUBURBIO;COLISÃO COM CICLISTA;COLISÃO ÔNIBUS X CICLISTA;;;;1;;1;;;;1;;Longo da via;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Não existe;Outras;60 km/h;Dupla;Faixa seccionada;;
2020-06-19;04:52:00;VÍTIMA FATAL;FINALIZADA;JOANA BEZERRA;VIADUTO CAPITAO TEMUDO;;;SENTIDO DERBY. ALÇA DE ACESSO A RUA IMPERIAL.;JOANA BEZERRA;;CIDADE;COLISÃO COM CICLISTA;MOTO X BICICLETA C/VITIMA FATAL;;1;;1;;;;;;1;1;Viaduto;Chuvoso;Não existe;Perfeito estado;Molhada;Perfeito estado;Não existe;R-19;40 km/h;Única;Faixa contínua;;
2020-06-19;07:46:00;SEM VÍTIMA;FINALIZADA;CASA FORTE;AV DEZESSETE DE AGOSTO;;;EM FRENTE A PIZZARIA HUTT;CASA FORTE;;;CHOQUE;VEÍCULO COLIDIU COM UM POSTE ESTÁ ATRAVESSADO NA VIA;1;;;;;;;;;0;;Longo da via;Chuvoso;Não existe;Perfeito estado;Molhada;Perfeito estado;Não existe;Outras;N/I;Dupla;Faixa contínua;;
2020-06-19;07:55:00;SEM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA CONS PORTELA;;RUA QUARENTA E OITO;;ESPINHEIRO;;;COLISÃO;COLISÃO ENTE DOIS AUTOMÓVEIS. OBS: AGENTE ARTHUR.;2;;;;;;;;;0;;Cruzamento;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Agente;Outras;N/I;Única;Outros;;
2020-06-19;08:28:00;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;1800;;PRÓXIMO REITORIA DA UNIVERSIDADE DE PERNAMBUCO- SENTIDO BOA VIAGEM;SANTO AMARO;;CIDADE;COLISÃO TRASEIRA;AUTO E MOTOCICLETA COM UMA VÍTIMA;1;1;;;;;;;;1;;Longo da via;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Não existe;Não há placas;60 km/h;Dupla;Canteiro central;;
2020-06-19;08:57:00;COM VÍTIMA;FINALIZADA;TORRÕES;AV ENGENHEIRO ABDIAS DE CARVALHO;;;LADO OPOSTO DLP VINHOS E DESTILADOS;TORRÕES;;CIDADE;ABALROAMENTO LONGITUDINAL;DOIS AUTOS E UMA MOTOCICLETA;2;1;;;;;;;;1;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Canteiro central;;
2020-06-19;10:24:00;COM VÍTIMA;FINALIZADA;ÁGUA FRIA;AV BEBERIBE;;;EM FRENTE PAGODE DA PRESSÃO E PRÓXIMO MERCADO ÀGUA FRIA;ÁGUA FRIA;;CIDADE;COLISÃO;DOIS AUTOS;2;;;;;;;;;1;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;N/I;Dupla;Faixa contínua;;
2020-06-19;14:22:00;COM VÍTIMA;FINALIZADA;TAMARINEIRA;AV NORTE;3927;RUA CONEGO BARATA;PRÓX DE GASOLINA AV. NORTE. LADO OPOSTO A PADARIA BELLA NORTE.;TAMARINEIRA;62;CIDADE;ATROPELAMENTO;ATROPELAMENTO ENTRE CAMINHÃO E PEDESTRE;1;;;;1;;;;;1;;Longo da via;Chuvoso;;Perfeito estado;Molhada;Perfeito estado;;;;Dupla;Canteiro central;;
