DATA;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;endereco_cruzamento;numero_cruzamento;referencia_cruzamento;bairro_cruzamento;num_semaforo;sentido_via;tipo;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
2019-09-06;12:53:00;SEM VÍTIMA;FINALIZADA;AREIAS;AV RECIFE;;;E/F AO SUPERMERCADO MAKRO;AV RECIFE;;E/F AO SUPERMERCADO MAKRO;AREIAS;621;;COLISÃO TRASEIRA;COLISAO ENTRE AUTO E MOTO S/V;1;1;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;;Outras;;Dupla;Canteiro central;;
2019-09-06;13:05:00;SEM VÍTIMA;FINALIZADA;ESPINHEIRO;AV NORTE;;;EM FRENTE A CONCESSIONÁRIA NISSAN;AV NORTE;;EM FRENTE A CONCESSIONÁRIA NISSAN;ESPINHEIRO;;CIDADE;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;R-4b;;Dupla;Faixa seccionada;Canteiro central;
2019-09-06;14:42:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;;EM FRENTE DO EXTRA;AV ENGENHEIRO DOMINGOS FERREIRA;;EM FRENTE DO EXTRA;BOA VIAGEM;;SUBURBIO;COLISÃO TRASEIRA;COLISÃO SEM VITIMA;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;;60 km/h;Dupla;Faixa contínua;Faixa seccionada;Canteiro central
2019-09-06;14:41:00;COM VÍTIMA;FINALIZADA;JIQUIÁ;AV DR JOSE RUFINO;XX;;PRÓXIMO À PONTE DO JIQUIÁ / POSTO PETROISA;AV DR JOSE RUFINO;XX;PRÓXIMO À PONTE DO JIQUIÁ / POSTO PETROISA;JIQUIÁ;;CIDADE;ABALROAMENTO TRANSVERSAL;COLISÃO COM VÍTIMA;1;1;;;;;;;;1;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Dupla;Faixa contínua;;
2019-09-06;15:33:00;COM VÍTIMA;CANCELADA;CABANGA;RUA COMANDANTE ANTONIO MANHAES DE MATTOS;;;EM FRENTE A COMPESA;RUA COMANDANTE ANTONIO MANHAES DE MATTOS;;EM FRENTE A COMPESA;CABANGA;661;;COLISÃO;COLISÃO COM VÍTIMA;1;1;;;;;;;;1;;;;;;;;;;;;;;
2019-09-06;15:50:00;SEM VÍTIMA;FINALIZADA;HIPÓDROMO;RUA PROFESSOR JERONIMO GUEIROS;;RUA MEM DE SA;;RUA PROFESSOR JERONIMO GUEIROS;;;HIPÓDROMO;;SUBURBIO;COLISÃO FRONTAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;;Cruzamento;Bom;Sem defeito;Incompleta;Seca;Perfeito estado;Não existe;Não há placas;40 km/h;Dupla;Canal;;
2019-09-06;15:56:00;SEM VÍTIMA;CANCELADA;CASA AMARELA;RUA DA MANGABEIRA;4578;;APOS O SESI DE CASA AMARELA E/F A PADARIA;RUA DA MANGABEIRA;4578;APOS O SESI DE CASA AMARELA E/F A PADARIA;CASA AMARELA;;;COLISÃO;COLISAO ENTRE DOIS AUTOS SE UMA MOTO DO GAS S/V;3;1;;;;;;;;0;;;;;;;;;;;;;;
2019-09-06;16:32:00;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;777;BEC DOS CASADOS;ESQUINA DO POSTO BR DO TACARUNA S/T OLINDA PISTA LOCAL;AV GOVERNADOR AGAMENON MAGALHAES;777;ESQUINA DO POSTO BR DO TACARUNA S/T OLINDA PISTA LOCAL;SANTO AMARO;;SUBURBIO;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE AUTO E MOTO COM UMA VITIMA;1;1;;;;;;;;1;;Esquina;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Não existe;;
2019-09-06;17:03:00;SEM VÍTIMA;FINALIZADA;ILHA JOANA BEZERRA;RUA CABO EUTROPIO;585;;E/F AO BAR DO JACAU;RUA CABO EUTROPIO;585;E/F AO BAR DO JACAU;ILHA JOANA BEZERRA;;;COLISÃO;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;;;;;;;;;;;;;;
2019-09-06;17:10:00;SEM VÍTIMA;FINALIZADA;DOIS IRMÃOS;RUA MANUEL DE MEDEIROS;;;EM FRENTE A UFRPE , Z-4;RUA MANUEL DE MEDEIROS;;EM FRENTE A UFRPE , Z-4;DOIS IRMÃOS;;CIDADE;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE AUTO E CAMINHAO S/V;1;;;;;;1;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Dupla;Faixa seccionada;;
2019-09-06;17:15:00;COM VÍTIMA;FINALIZADA;BOA VISTA;AV GOVERNADOR AGAMENON MAGALHAES;;RUA DR LEOPOLDO LINS;PROXIMO A CAIXA ECONOMICA;AV GOVERNADOR AGAMENON MAGALHAES;;PROXIMO A CAIXA ECONOMICA;BOA VISTA;78;SUBURBIO;ATROPELAMENTO;ATROPELAMENTPO ENTRE MOTO E PEDESTRE;;1;;;1;;;;;2;;Cruzamento;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;;60 km/h;Dupla;Canteiro central;;
2019-09-06;17:26:00;SEM VÍTIMA;CANCELADA;JAQUEIRA;RUA DEPUTADO PEDRO PIRES FERREIRA;216;RUA DO FUTURO;AO LADO DA GALERIA PARK CENTER;RUA DEPUTADO PEDRO PIRES FERREIRA;216;AO LADO DA GALERIA PARK CENTER;JAQUEIRA;;;COLISÃO;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;;;;;;;;;;;;;;
2019-09-06;18:17:00;COM VÍTIMA;FINALIZADA;IPSEP;RUA DR RAPOSO PINTO;523;;APÓS A ACADEMIA GOLFINHO;RUA DR RAPOSO PINTO;523;APÓS A ACADEMIA GOLFINHO;IPSEP;;;ABALROAMENTO LONGITUDINAL;ENTRE AUTO E MOTO. C/V;1;1;;;;;;;;1;;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
2019-09-06;18:39:00;SEM VÍTIMA;FINALIZADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;;E/F AO CLUBE PORTUGUÊS;AV GOVERNADOR AGAMENON MAGALHAES;;E/F AO CLUBE PORTUGUÊS;DERBY;;SUBURBIO;COLISÃO TRASEIRA;ENTRE AUTO E MOTO. S/V;1;1;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Não existe;;
